"An amount differing from the order has been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]","An amount differing from the order has been received on your SOFORT Bank account. Please verify the payment. Time: [[date]]"
"Partial amount will be refunded - [[refunded_amount]]. Time: [[date]]","Partial amount will be refunded - [[refunded_amount]]. Time: [[date]]"
"Amount will be refunded. Time: [[date]]","Amount will be refunded. Time: [[date]]"
"Select the time of invoicing","Select the time of invoicing"
"It is not recommended to change this setting","It is not recommended to change this setting"
"After finishing the payment","After finishing the payment"
"The receipt of the money ( can be only detected with an account with SOFORT Bank)","he receipt of the money ( can be only detected with an account with SOFORT Bank)"
"If the status shouldn't be updated for this event, please choose as status %s","If the status shouldn't be updated for this event, please choose as status %s"
"Create credit memo automatically","Create credit memo automatically"
"A credit memo will be created automatically if a transaction was refunded by using the SOFORT panel.","A credit memo will be created automatically if a transaction was refunded by using the SOFORT panel."
en,en
"Send order confirmation","Send order confirmation"
"Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]", "Redirection to SOFORT Banking. Transaction not finished. Transaction ID: [[transaction_id]]. Time: [[date]]"
